DialogueID,LocaleID,CameraAction,NpcAction,PlayerAction,Next,Choice,OpenWindow
1,10000001,,Talk,,2,,
2,10000002,WideLook,Talk,,,3|4,
3,10000003,,,,,,
4,10000004,,,,,,
5,10000005,,,,6,,
6,10000006,,,,7,,
7,10000007,,,,,,
8,10000008,,,,,,
9,10000009,,,,,,
101,10000101,,,,,102|0,
102,10000102,,,Praying,103,,
103,10000103,,,,104,,Level
104,10000104,,,,,,
201,10000201,,,,202,,
202,10000202,,,,203,,
203,10000203,,,,204,,
204,10000204,,,,,205|209,Quest:1
205,10000205,,,,,,
206,10000206,,,,207,,
207,10000207,,,,,208|209,
208,10000208,,,,211,,
209,10000209,,,,,,
210,10000210,,,,211,,
211,10000211,ZoomEnemy,,,212,,
212,10000212,,,,,213|214,Quest:2
213,10000213,,,,,,
214,10000214,,,,,,
215,10000215,,,,,,
216,10000216,,,,,,
1001,10001001,,,,,,
1002,10001002,,,,,,
1003,10001003,,,,,,
