ID,DialogueKO,ChoiceKO,DialogueEN,ChoiceEN,DialogueJA,ChoiceJA
10000001,못보던 얼굴인데,,,,,
10000002,이곳이 처음인가?,네|아니오,,,,
10000003,어찌된 일인지는 모르겠지만\n 근방에는 몬스터가 많으니 조심해,,,,,
10000004,그럼 조심히 가도록 해,,,,,
10000005,응? 옆의 의사?,,,,,
10000006,뭔가 열심히 만드는거 같던데 글쎄..,,,,,
10000007,가끔 심심하면 내 말동무나 되어줘,,,,,
10000008,,,,,,
10000009,,,,,,
10000101,기도하시겠습니까?,네|아니오,,,,
10000102,신이 당신의 부름에 응답합니다,,,,,
10000103,,,,,,
10000104,소원이 이루어 졌습니다,,,,,
10000201,…,,,,,
10000202,누구지? 이 근방에서는 처음 보는 얼굴인데,,,,,
10000203,지금은 바쁘니 다시 대화하지,,,,,
10000204,,,,,,
10000205,그럼 잠시 자리좀 비켜주게,,,,,
10000206,아 오래 기다렸나? 이거 미안하군,,,,,
10000207,식물 연구 때문에 애를 먹었군..\n뭐 더 할말 있나? 아니면 내 부탁이라도 들어줄텐가,그러죠|지금은 좀 바쁘네요,,,,
10000208,이렇게 고마울 수가,,,,,
10000209,그래 그래 그럼 수고해,,,,,
10000210,또 왔나?,,,,,
10000211,마침 필요한 재료가 있는데 저기 저 고블린 놈이 말썽이야.\n너가 가서 잡아줬으면 하네. 보수는 두둑히 하지,,,,,
10000212,,,,,,
10000213,잘 부탁하네,,,,,
10000214,그런가. 이거 좀 오래 걸리겠군,,,,,
10000215,고맙네. 덕분에 살았어\n이제 연구에 진척이 좀 있겠군,,,,,
10000216,,,,,,
10001001,*주의*\n강력한 몬스터들이 출현합니다,,,,,
10001002,,,,,,
10001003,,,,,,
10001004,,,,,,
10001005,,,,,,
