WeaponID,Enhance,Add_STR_Growth,Add_DEX_Growth,Add_INT_Growth
10001,0,0,0,0
10002,0,0,0,0
10002,1,0,1,0
10002,2,0,2,0
10002,3,1,2,0
10002,4,1,3,0
10002,5,1,4,0
10002,6,1,5,0
10002,7,2,5,0
10002,8,2,6,0
10002,9,2,7,0
10002,10,2,8,0
10002,11,3,8,0
10002,12,3,9,0
10002,13,3,10,0
10002,14,3,11,0
10002,15,4,12,0
10004,0,0,0,0
10004,1,0,2,0
10004,2,1,3,0
10004,3,1,4,0
10004,4,2,5,0
10004,5,2,6,0
10004,6,3,7,0
10004,7,3,8,0
10004,8,4,10,0
10004,9,5,12,0
10004,10,6,14,0
10005,0,0,0,0
10005,1,1,0,0
10005,2,2,1,0
10005,3,3,1,0
10005,4,3,2,0
10005,5,4,2,0
10005,6,4,3,0
10005,7,5,3,0
10005,8,5,4,0
10005,9,6,4,0
10005,10,7,5,0
10005,11,7,6,0
10005,12,8,6,0
10005,13,8,7,0
10005,14,9,8,0
10005,15,10,9,0
