Item_ID,Name,Icon,Item_Type,Rarity,Prefab,Description
1002,10001002,Deadly_Poison,1,2,,11001002
1004,10001004,Magic_Bolt,1,3,,11001004
10001,10010001,Demon_Sword,0,2,Demon_Sword,11010001
10002,10010002,Sword_7,0,1,Sword_7,11010002
10003,10010003,Wooden_Bow,0,1,Wooden_Bow,11010003
10004,10010004,Goblin_Bow,0,3,Goblin_Bow,11010004
10005,10010005,Teeth,0,1,Teeth,11010005
10006,10010006,Whisper_Blizzard,0,2,Whisper_Blizzard,11010006
10007,10010007,Karnea_Ash,0,3,Karnea_Ash,11010007
60001,10060001,Scroll_Teeth,2,1,,11060001
60002,10060002,Scroll_Deadly_Poison,2,2,,11060002
60004,10060004,Scroll_Magic_Bolt,2,3,,11060004
70001,10070001,Goblin_Teeth,4,1,,11070001
70002,10070002,Stone,4,1,,11070002
70003,10070003,Rusted_Metal,4,1,,11070003
70004,10070004,Essence_Of_Soul,4,1,,11070004
80001,10080001,Potion_Heal,3,3,Potion_Heal,11080001
90001,10090001,,0,0,Wooden_Bow_Enemy,11090001
90002,10090002,,0,0,Goblin_Sword_Enemy,11090002
