Locale_ID,KO,EN,JA
10000000,레벨,Level,
10000001,HP,HP,
10000002,공격력,Damage,
10000003,방어력,Defense,
10000005,생명력,Health,
10000006,근력,Strength,
10000007,기량,Dexterity,
10000008,지성,Intelligent,
10000009,능력치,Stat,
10000010,기본능력,Basic Status,
10000011,보유 코인,Remained Coin,
10000012,다음 레벨 요구,Next Required,
10000013,무기보정,Weapon Fixed,
10000014,최종 데미지,Final Damage,
10000015,레벨업,Level Up,
10000016,설정,Settings,
10000017,볼륨,Volume,
10000018,마스터,Master,
10000019,배경,Background,
10000020,이펙트,Effect,
10000021,요구 스탯,Req.Stat,
10000022,데미지 보정,Damage Fixed,
10000023,레벨업,Level UP,
10000024,총 요구,Total Required,
10000025,설정,Settings,
10000026,소리,Sound,
10000027,전체,Master,
10000028,음악,Music,
10000029,이펙트,Effect,
10000030,언어,Language,
10000031,목표,Object,
10000032,보상,Reward,
10000033,내용,Description,
10000034,수락,Accept,
10000035,거절,Decline,
10000036,닫기,Close,
10000037,수락 가능,Available,
10000038,진행중,Accepted,
10000039,완료됨,Completed,
10000040,미달성,Not Achieved,
10000041,달성,Achieved,
10000042,최종 방어,Final Defense,
10000043,이동한다,Move,
10001001,독,Poison,毒
10001002,맹독,Deadly Poison,狂毒
10001003,밀치기,Knockback,ヒット
10001004,휘석탄환,Gem Bullet,輝石弾丸
10010001,데몬 소드,Demon Sword,デーモンソード
10010002,소드7,Sword 7,ソード7
10010003,나무 활,Wooden Bow,
10010004,고블린 활,Goblin's Bow,
10010005,이빨,Teeth,
10010006,눈보라의 속삭임,Whisper of the Blizzard,
10010007,카르네아의 재,Ashes of Karnea,
10080001,회복 포션,Healing Potion,回復ポーション
100001,고블린,Goblin,ゴブリン
100002,스켈레톤,Skeleton,
900001,깊은 곳의 드래곤,Deep Dragon,
11000000,말을 건다,Talk,
11000001,아이템을 획득한다,Take,
11000002,바라본다,Look,
11001001,공격 적중시 대상에게 {1}초 동안 매초 {2}의 독 데미지를 입힌다,On hit inflicts {2} poison damage per second to the target for {1} seconds.,攻撃命中時、対象に{1}秒間毎秒{2}の毒ダメージを与える
11001002,공격 적중시 대상에게 {1}초 동안 매초 {2}의 치명적인 독 데미지를 입힌다,On hit inflicts {2} deadly poison damage per second to the target for {1} seconds.,攻撃命中時、対象に{1}秒間毎秒{2}の致命的な毒ダメージを与える
11001003,공격 적중시 적을 약간 밀어낸다,Upon hit rises toward the enemy.,攻撃命中時、敵を少し押し出す
11001004,"공격 적중시 대상을 향해 날아가는 작은 휘석을 {4}개 발사한다.
휘석은 공격력의 {2}% 만큼의 피해를 가한다.","On hit fires {4} small fragments toward the target.
Each fragment deals {2}% of attack damage.","攻撃命中時、対象に向かって飛ぶ小さな輝石を{4}個発射する
輝石は攻撃力の{2}%分のダメージを与える"
11010001,,,
11010002,,,
11010003,,,
11010004,,,
11010005,,,
11010006,,,
11010007,,,
11080001,체력을 회복한다,Regeneration Health,たいりょくかいふく
11090001,,,
80000001,시간이 필요해,,
80000002,성가신 고블린,,
80000003,,,
81000001,의사에게는 잠시 시간이 필요해 보입니다.\n잠시 후 다시 말을 걸어봐야 할 듯 싶습니다.,,
81000002,고블린에 의해 연구를 하기 힘듭니다. \n 의사를 위해 고블린을 잡아줍니다.,,
81000003,,,
82000001,{0} {1} 마리 처치,,
82000002,{0} {1}개 수집,,
82000003,{0}과(와) 대화하기,Talk with {0},
90000001,행인,,
90000002,천사의 석상,,
90000003,수상한 의사,,
90000004,경고문,,
2,마을 앞,,
3,마을,,
4,던전,,
100000001,테스트1,Test1,
100000002,테스트2,Test2,
