Level,Exp
1,0
2,673
3,689
4,706
5,723
6,740
7,757
8,775
9,793
10,811
11,829
12,847
13,1038
14,1238
15,1445
16,1659
17,1882
18,2113
19,2353
20,2601
21,2857
22,3122
23,3395
24,3678
25,3970
26,4270
27,4580
28,4899
29,5228
30,5567
31,5915
32,6273
33,6640
34,7018
35,7407
36,7805
37,8214
38,8633
39,9064
40,9505
41,9956
42,10419
43,10893
44,11379
45,11876
46,12384
47,12904
48,13435
49,13979
50,14535
51,15102
52,15682
53,16274
54,16879
55,17497
56,18127
57,18770
58,19425
59,20094
60,20777
61,21472
62,22181
63,22903
64,23640
65,24390
66,25153
67,25931
68,26723
69,27530
70,28351
71,29186
72,30036
73,30900
74,31780
75,32675
76,33584
77,34509
78,35449
79,36405
80,37377
81,38364
82,39367
83,40385
84,41420
85,42472
86,43539
87,44623
88,45723
89,46841
90,47975
91,49125
92,50293
93,51478
94,52681
95,53901
96,55138
97,56393
98,57665
99,58956
100,60265
101,61591
102,62936
103,64299
104,65681
105,67082
106,68501
107,69939
108,71395
109,72871
110,74367
111,75881
112,77415
113,78968
114,80542
115,82135
116,83747
117,85380
118,87033
119,88707
120,90401
121,92115
122,93850
123,95605
124,97382
125,99180
126,100998
127,102838
128,104699
129,106582
130,108487
131,110413
132,112361
133,114330
134,116322
135,118337
136,120373
137,122432
138,124513
139,126618
140,128745
141,130894
142,133067
143,135263
144,137483
145,139726
146,141992
147,144282
148,146595
149,148933
150,151295
151,153680
152,156090
153,158524
154,160983
155,163467
156,165975
157,168508
158,171065
159,173648
160,176257
161,178890
162,181549
163,184233
164,186944
165,189680
166,192441
167,195229
168,198043
169,200884
170,203751
171,206644
172,209564
173,212510
174,215484
175,218485
176,221512
177,224567
178,227649
179,230759
180,233897
181,237062
182,240255
183,243475
184,246724
185,250002
186,253307
187,256641
188,260003
189,263395
190,266815
191,270263
192,273741
193,277248
194,280785
195,284351
196,287946
197,291571
198,295225
199,298910
200,302625
201,306369
202,310144
203,313949
204,317785
205,321652
206,325549
207,329477
208,333435
209,337425
210,341447
211,345499
212,349583
213,353698
214,357846
215,362025
216,366235
217,370478
218,374753
219,379061
220,383401
221,387773
222,392178
223,396615
224,401086
225,405590
226,410126
227,414696
228,419299
229,423936
230,428607
231,433311
232,438049
233,442820
234,447626
235,452467
236,457341
237,462250
238,467193
239,472172
240,477185
241,482232
242,487315
243,492433
244,497587
245,502776
246,508000
247,513260
248,518555
249,523887
250,529255
251,534658
252,540098
253,545574
254,551087
255,556637
256,562223
257,567846
258,573505
259,579202
260,584937
261,590708
262,596517
263,602363
264,608248
265,614170
266,620129
267,626127
268,632163
269,638238
270,644351
271,650502
272,656692
273,662920
274,669188
275,675495
276,681840
277,688225
278,694649
279,701113
280,707617
281,714160
282,720743
283,727365
284,734028
285,740732
286,747475
287,754259
288,761083
289,767949
290,774855
291,781801
292,788789
293,795818
294,802889
295,810001
296,817154
297,824349
298,831585
299,838864
300,0
